iDISK_ID,Name,CUI,Background,Safety,Mechanism of action,Source Material,Common Names,NHP_Name,DSLD_Name,MSKCC_Name,NM_Name
DSI000000,Serenoa repens,C4082853,"Saw palmetto is a dwarf palm that grows in the coastal lands of North America, West Indies, and Mediterranean countries. The fruits are a rich source of fatty acids and phytosterols and have been used to promote urination, reduce inflammation, and for treatment of conditions such as benign prostatic hyperplasia (BPH).Various heterogeneous extracts of saw palmetto are available, but many basic research and clinical trials used a hexanic extract of S. repens, which has anti-inflammatory, anti-androgenic, and antiproliferative activities . Whereas some data indicate that saw palmetto extracts improve lower urinary tract symptoms (LUTS) in both male and female patients with BPH, conflicting data suggest no such effects . In another large study, a saw palmetto extract did not affect serum prostate specific antigen (PSA) more than placebo even at high doses . But pretreatment with saw palmetto reduced intra- and postoperative complications in patients who underwent transurethral resection of the prostate and open prostatectomy , and reduced prostatic inflammation . Data also suggest benefits against chronic prostatitis/chronic pelvic pain syndrome . A saw palmetto extract was found to inhibit growth of normal prostate cells and increase their sensitivity to radiation in vitro, but did not affect malignant prostate cancer cells . A large epidemiologic study did not find associations with the use of saw palmetto and reduced risk of prostate cancer .In an exploratory study, a hexanic extract of S. repens demonstrated anti-inflammatory effects in patients with BPH-related LUTS . In an open-label study, saw palmetto extract plus tamsulosin was found to be more effective than tamsulosin alone in reducing storage symptoms in BPH patients ; and a randomized trial reported benefits of saw palmetto and bifiprost for preventing chronic bacterial prostatitis due to enterobacteriaceae .Multi-phytotherapy approaches have also been investigated. One study suggests saw palmetto may benefit patients with chronic bacterial prostatitis when co-administered with nettle, curcumin, and quercitin . In addition, saw palmetto exerted anti-inflammatory effects when combined with selenium and lycopene . In randomized trials, patients with LUTS had greater improvement in International Prostate Symptom Scores (IPSS) and increased urine flow with this combination therapy in addition to tamsulosin than with either single therapy . The combination was also reported comparable to tadalafil for improving IPSS and urine flow .Due to the increased risk of normal tissue complications, patients should consult with a physician before using saw palmetto supplements during radiation therapy. Data on the effects of saw palmetto on symptom management during radiation therapy have yet to be published .",,"Studies with a liposterolic extract of saw palmetto berries showed that it reduced tissue uptake of both testosterone and dihydrotestosterone (DHT) by more than 40%, suggesting antiandrogenic activity (7). Further, the extract inhibited binding of DHT to its receptor (8) and blocked conversion of testosterone to DHT by inhibiting 5-alpha-reductase activity (9). The berries also inhibit cyclooxygenase and 5-lipoxygenase pathways, thereby preventing the biosynthesis of inflammation-producing prostaglandins and leukotrienes (10). Other possible mechanisms attributed to benefits in BPH include the blocking of estrogen receptor activity in the prostate as well as bladder muscle antispasmodic and anti-inflammatory activities (42). Possible mechanisms by which saw palmetto could cause hot flashes and vasomotor symptoms especially in children include its antiestrogenic activity influencing physiological endocrine activity and increased availability of sex hormone-binding globulin (35) (43).Studies of a hexanic extract of S. repens suggests it decreases prostaglandin and leukotriene production to inhibit the arachidonic acid cascade and decreases B lymphocyte infiltrates and interleukin (IL)-1b and tumor necrosis factor (TNF)-a levels to adjust inflammatory status and gene expression (36). In animal models of prostate hyperplasia, it demonstrated a global anti-inflammatory effect on hyperplastic prostates with lobe-specific anti-androgenic effects (44). In human prostate and vascular cells in an inflammatory environment, it also decreases monocyte chemotactic protein-1 production and vascular cell adhesion molecule-1 expression (37). In human prostate carcinoma cells, inhibitory effects on cell growth were attributed to downregulation of inflammatory-related genes and activation of nuclear factor-kappa B pathway (45).A chalcanonol glycoside from the seeds of saw palmetto as well as sterolic derivatives have demonstrated antiproliferative effects (46).",Fruit,American dwarf palm tree | Cabbage palm,Serenoa repens,Saw Palmetto,Saw Palmetto,
DSI000001,Zea mays,C0010028,,,,Zea mays - Seed | Pollen extract,,Zea mays | Maize,Corn Silk | Corn | Maize,,
DSI000002,Selenium,C0521939,"Selenium, an essential dietary trace mineral, is an important component of cellular antioxidant defense systems that include enzymes such as glutathione peroxidase . It also plays an important role in thyroid function. Selenium can be obtained from the diet by consuming whole grains, meats, seafood, poultry, and nuts. It is sold in supplemental form to boost immune function and for disease prevention. Studies on the role of selenium in reducing cardiovascular disease risk are inconclusive , although a meta-analysis suggests benefit with antioxidant mixtures when they contain selenium . Data are also mixed on whether supplementation can reduce viral load in patients with HIV . Although it may improve glucose metabolism and reduce markers of inflammation and oxidative stress , supplementation is not useful in preventing diabetes and in some cases may increase the risk . Selenium alone or in combination with vitamin E also did not prevent dementia . In studies on the relationship between selenium and cancer prevention, data suggest it may help prevent gastrointestinal and lung cancers, although findings from bladder cancer research are conflicting . Other studies on whether selenium status impacts cancer risk are also mixed , and a review of RCTs did not find clear evidence of cancer preventive potential . In addition, the Selenium and Vitamin E Cancer Prevention Trial (SELECT) failed to find protective effects against prostate cancer or colorectal adenomas . In other studies, selenium along with soy and vitamin E did not prevent prostate cancer progression , and selenium taken with lycopene did not modulate prostate cancer risk . Moreover, selenium levels may influence the risk of aggressive prostate cancer , and supplementation may increase prostate cancer mortality . A chemoprevention trial of selenium in patients with non-small cell lung cancer did not show benefit, but did suggest a possible nonsignificant increase in secondary lung cancers . Long-term supplementation may increase the risk for certain types of skin cancer as well . With respect to dietary intake, no association between dietary selenium and thyroid cancer incidence was found . A few studies suggest selenium supplementation may reduce some cancer treatment side effects including hair loss, abdominal pain, loss of appetite , diarrhea , fatigue and nausea , head and neck lymphedema , and salivary gland damage . However, more studies are needed and supplementation in patients with low levels or during active treatment should be under the guidance of healthcare practitioners in cancer populations.",,"Selenium is an essential structural element of the antioxidant enzyme glutathione-peroxidase that converts aggressive oxidation products and intracellular free radicals into less reactive or neutral components (3). Other biological functions of selenium include regulation of thyroid hormone action and regulation of the reduction status of vitamin C (2).
In lab studies, selenium protected against adriamycin-induced cardiac dysfunction via restoring ATP-sensitive potassium channel expression (34). It induced a multitargeted cell death process characterized by unfolded protein response, ER-stress, and occurrence of large cytoplasmic vacuoles in addition to ROS formation (31). However, excessive selenium intake induces hepatic insulin resistance through an opposite regulation of ROS (32). The effects of dietary selenium on progression of malignant mesothelioma tumors depend on arising cancer cell redox metabolism and tumor ability to benefit from increased selenium intake (33).","Sodium selenate | Seafood, poultry, meat, whole grains, and nuts",Selenocysteine | Selenomethionine | Selenate | Selenite,Selenium,Selenium | Selenium nitrate | Selenium Picolinate,Selenium,
DSI000003,DL-alpha-Lipoic acid,,,,,DL-alpha-Lipoic acid,,DL-alpha-Lipoic acid,,,
DSI000004,Ubiquinol,C0077656,,,,,,Ubiquinol,,,
DSI000005,Carbamide,C0041942,,,,Urea | Urea,,Carbamide | Carbonyldiamide | Urea,Urea,,
DSI000006,Zinc,C3541396,"Zinc is an essential element necessary for human physiologic functions including enzymatic reactions, bone formation, and regulation of synaptic signaling. It is thought to have antioxidant and immunostimulant activities, and is used as a dietary supplement to treat the common cold, diabetes, rheumatoid arthritis, warts, and male infertility. Zinc is also an ingredient in some over-the-counter products such as topical creams and denture adhesives. Zinc sulfate is the most studied supplement, but other forms such as gluconate are also marketed for their higher absorption. Zinc deficiency is relatively rare in the United States, and more common in developing countries, in patients with various health conditions, and in those who habitually consume vegetarian diets . Deficiency has been linked to various chronic ailments , increased mortality , and infertility , but supplementation in men planning infertility treatment did not improve semen quality or live birth rates . Studies on whether short-term use of zinc lozenges can help reduce common cold symptoms are mixed . Data from clinical trials suggest supplementation may reduce duration but not severity of cold symptoms if taken within 24 hours of onset . In certain pediatric populations, zinc supplementation may help reduce respiratory tract infections or diarrhea . However, study results among children with cystic fibrosis are mixed , and a Cochrane review cites a lack of corresponding reduction in required intravenous antibiotics . Zinc supplementation also had a negative treatment effect in severe pediatric bacterial pneumonia, causing significantly longer hospital stays and slower recovery . Other studies report that zinc supplementation may reduce markers of insulin resistance and metabolic syndrome in children . In the elderly, zinc supplementation increased serum concentrations and was associated with enhanced T-cell function . However, high-dose zinc with or without high-dose ascorbic acid did not reduce COVID symptoms among ambulatory adult patients . Zinc supplementation was also ineffective against rheumatoid arthritis, and serum concentrations can actually be higher in patients with RA than in healthy individuals . Among HIV-positive adults with heavy alcohol use, zinc supplementation did not reduce mortality or cardiovascular disease risks . Animal models and human studies have linked zinc deficiency to an increased risk of developing esophageal squamous cell carcinoma while both deficiency and excess intake (more than 100 mg/day) were linked to prostate cancer . However, zinc >15 mg/day for 10 years may reduce risk of advanced prostate cancer . At the same time, epidemiological studies illustrate a relationship between high zinc levels in breast tissue and breast cancer . Taken together, research suggests that optimal zinc intake plays a role in achieving protective effects. Zinc may help manage some symptoms associated with cancer treatments, but evidence is mixed. Small studies suggest it may help reduce infection or fatigue in some patients undergoing chemotherapy . Supplementation was reported to reduce mucositis in some patients receiving radiation or chemotherapy , but not in head and neck cancer patients . Data are also mixed on whether it can help in taste preservation or improve survival . A meta-analysis suggests that overall, zinc-based therapy may reduce incidence of radiation-induced dysgeusia, but have minimal effects against ongoing symptoms .",,"Zinc is a component of many proteins and performs a number of catalytic, structural, and regulatory functions. It is essential for the structural formation of biologically active molecules such as copper-zinc superoxide dismutase (Cu/Zn SOD), and enzymes including RNA polymerases, alcohol dehydrogenase, carbonic anhydrase, and alkaline phosphatase that depend on zinc as a cofactor (26) (45) (46). Zinc influences protein kinase C activity, immunocompetence, apoptosis, and metallothionein levels and has a number of antioxidant and antiinflammatory functions (9) (16) (45) (47) (48). However, whether zinc elicits antioxidant, anti-inflammatory, or antiapoptotic effects is concentration-dependent and relies on an intricate balance. Under conditions of zinc overload or deficiency, zinc ions become pro-oxidant, proinflammatory, and proapoptotic (46).
The role of zinc in taste perception likely relates to the presence of alkaline phosphatase within the taste-bud membrane (49). Zinc accumulation in bone tissue activates alkaline phosphatase and stimulates collagen synthesis in osteoblasts, which are involved in bone mineralization and calcification (50). Zinc has the ability to complex with viral coat proteins, altering assembly of viral particles (51), and its deficiency increases humoral and cell-mediated immunity dysfunction and susceptibility to infection (47). Supplemental zinc can reduce the ability of the rhinovirus to attach to the human respiratory tract (6). In patients with a common cold, zinc decreases plasma soluble interleukin-1 receptor antagonist (sIL-1fa) and soluble intercellular adhesion molecule-1 (sICAM-1), a cellular receptor for rhinovirus (4). In men with reduced sperm motility, zinc supplementation reduces oxidative stress, apoptosis, and sperm DNA fragmentation (27).
Zinc works with metallothioneins, Cu/Zn SOD, and p53 to combat oxidative stress and mediate DNA damage response and repair (52) (53). In vitro, intracellular zinc accumulation inhibits proliferation of human prostate cancer cells by causing G2/M arrest and upregulating CDKN1A gene expression, which expresses p21 (54) (55). Further, zinc deficiency depresses nuclear p21 and p53 levels (56). Animal models of esophageal cancer demonstrate that zinc-deficiency induces overexpression of proinflammatory mediators S100a8 and S100a9 as well as chemokines, chemokine receptors, cytokines, and Cox-2 (32) (33). Zinc replenishment reduces and also reverses these proinflammatory signatures (33).
Zinc dyshomeostasis has been implicated in breast cancer as a modulator of oxidative stress, DNA damage response/repair pathways, and cell proliferation/apoptosis (52). A diverse group of zinc transporters other than those associated with breast cancer play a role in regulating cell proliferation and apoptosis in prostate, pancreatic and ovarian cancers, suggesting zinc dysregulation in cancer is cell-type specific (52) (53) (54) (57).","Zinc oxide | Meats, fish, poultry, legumes, and whole grains",Zinc gluconate | Zinc sulfate | Zinc acetate | Zinc picolinate,Zinc | Zinc Bisglycinate,Zinc osporotate | Zinc,Zinc,
DSI000007,2-amino-2-deoxy-D-glucose,C0017718,"Glucosamine is an aminomonosaccharide synthesized from glucose. It is found in the cartilage and fluid around the joints as well as in marine invertebrate exoskeletons. Glucosamine has anti-inflammatory effects, and is marketed as a dietary supplement and often paired with chondroitin sulfate for joint health.Glucosamine has been mostly studied for osteoarthritis (OA). Although glucosamine/chondroitin supplementation was comparable to celecoxib in a large multicenter trial of patients with severe knee OA pain , and reduced circulating inflammatory cytokine IL-6 , other studies have not found benefit with glucosamine, chondroitin, or the combination for knee or hip OA . Data on chondroitin alone also suggest no significant benefit . In addition, no efficacy was seen with glucosamine for back pain , degenerative lumbar OA , or improving glucose metabolism in type 2 diabetes . Any benefits with glucosamine may be limited to older patients who have arthritis that is more severe or for longer periods of time .Meta-analyses of glucosamine trials are also mixed . The American College of Rheumatology conditionally recommends that patients avoid glucosamine for OA . In contrast, the European Society for Clinical and Economic Aspects of Osteoporosis and Osteoarthritis treatment guidelines recommend a prescription glucosamine formulation as being superior to other forms, but this product is not available in the US . It is further suggested that these differences in availability and formulas have contributed to the lack of significant effect across studies and pooled analyses . Additionally, interindividual differences in the absorption and elimination of glucosamine may cause variable clinical outcomes in OA according to a study of healthy adults .Clinical trials on whether glucosamine can improve temporomandibular joint symptoms are limited, providing low or no evidence of this effect although one study of oral glucosamine adjunctive to hyaluronic acid injection suggests long-term benefit . Preliminary studies of other combination treatments with glucosamine for various types of OA suggest improvements in pain and function , but more studies are needed to confirm these effects.Glucosamine has been assessed for its potential role against depression. Although preclinical studies suggested antidepressive effects, a clinical investigation failed to find any benefit .Exploratory findings suggest glucosamine may benefit gut health . Larger studies are needed to confirm these effects.Glucosamine/chondroitin supplementation has been correlated with reduction in cancer risk and mortality, although limitations such as bias could not be ruled out and confirmatory studies are needed .Glucosamine use has been associated with a higher risk for cardiovascular diseases in patients with osteoarthritis along with case reports of liver injury/toxicity . Patients on antiplatelet or anticoagulant therapies should be monitored for interactions or increased INR levels . Patients with poorly controlled diabetes or glucose intolerance should be monitored as glucosamine could worsen insulin resistance .",,"Progressive degeneration of cartilage glycosaminoglycans is evident in osteoarthritis. Glucosamine is the first step in glycosaminoglycan biosynthesis. In vitro, it increased production of monomeric proteoglycans capable of assembling into high molecular weight aggregates (26). Glucosamine can protect cartilage from metabolic impairment by NSAIDs, corticosteroids, and by exerting anti-inflammatory effects (27). It may promote cartilage repair by inducing tissue TGFβ1 and CTGF expression that regulates chondrocyte proliferation (28). Long-term reductions in TMJ symptoms with adjunctive oral glucosamine may be due to TGF-beta stimulation and IL-1beta / IL-6 suppression (42). Reduced systemic inflammation and cytokine activity found in a small randomized crossover study may explain potential reductions in mortality or cancer risk (30).Although glucosamine is slow to act (31), its effects may persist after treatment cessation (26).The rise in intraocular pressure associated with older patients in one study may relate to exogenous glycosaminoglycans effects on accumulations of extracellular matrix and thickening of the basement membrane, thereby compromising function of the trabecular meshwork (29).","Glucosamine sulfate potassium chloride | Prawn exoskeleton | Glucosamine hydrochloride | Glucosamine sulfate potassium chloride from shrimp exoskeleton | Aspergillus niger, chitin | Shellfish Chitin",Glucosamine sulphate | Glucosamine hydrochloride | Chitosamine,2-Amino-2-deoxy-D-glucose sulfate | 2-amino-2-deoxy-D-glucose sulfate | 2-Amino-2-deoxy-D-glucose hydrochloride | D-Glucosamine sulphate | Glucosamine | Glucosamine HCL | Sulfate de glucosamine chlorure de pottasium  provenant d?exosquelettes de crabes  | Sulfate de glucosamine chlorure de sodium  provenant d?exosquelettes de crevettes  | Chlorhydrate de glucosamine  | N-Acetyl-L-Glucosamine,Glucosamine (mixed type) | Glucosamine (mixed) | Glucosamine (unspecified),Glucosamine,
DSI000008,Chondroitin sulfate,C0008466,,,,Bos taurus - cartilage | Bovine cartilage,,Chondroitin sulfate | Chondroitin sulphate,Chondroitin Sulfate,,
DSI000009,N-Acetyl-5-methoxytryptamine,C0025219,,,,Melatonin | Melatonin,,N-Acetyl-5-methoxytryptamine | N-[2-(5-Methoxy-1H-indol-3-yl)ethyl]acetamide,,,
