iDISK_ID,Name,CUI,MSKCC_Name,NM_Name
DIS000000,Anxiety,C0003467,Anxiety,
DIS000001,Depression,C0011570,Depression,
DIS000002,Fibromyalgia,C0016053,Fibromyalgia,
DIS000003,Flashes,C0085635,Hot Flashes,
DIS000004,Migraines,C0149931,Migraines | Migraine | Migraine treatment,
DIS000005,Obesity,C0028754,Obesity,
DIS000006,Cancer,C1306459,Cancer | Cancer-related symptoms | Cancer prevention | Cancer Treatment | Cancer treatment | Cancer-related fatigue | Cancer risk,
DIS000007,Lupus,C0024131,Lupus | Lupus symptoms,
DIS000008,Heart disease,C0018799,Heart disease,
DIS000009,Stroke,C0038454,Stroke,
DIS000010,Arteriosclerosis,C0003850,Arteriosclerosis,
DIS000011,Hepatitis,C0019158,Hepatitis,
DIS000012,Diabetes,C0011847,Diabetes | Type-2 Diabetes | Diabetes management,
DIS000013,Infections,C3714514,Infections | Microbial infections,
DIS000014,Liver,C0496870,Liver function | Liver toxicity | Liver Pain,
DIS000015,GI disorders,C0017178,GI disorders,
DIS000016,allergies,C0020517,"Asthma, allergies | Allergies",
DIS000017,Menstrual disorders,C0025345,Menstrual disorders | Menstrual Disorders,
DIS000018,Inflammation,C0021368,Inflammation,
DIS000019,Treatment side effects,C0879626,Cancer treatment side effects | Chemotherapy side effects | Radiation therapy side effects | Treatment side effects | Chemotherapy and Radiotherapy side effects | Cancer treatment-associated side effects,
DIS000020,Liver disease,C0023895,Liver disease,
DIS000021,Lice,C0030756,Lice,
DIS000022,flu,C0021400,"Colds, flu | Colds and Flu | Influenza",
DIS000023,Atherosclerosis,C0004153,Atherosclerosis,
DIS000024,Hypertension,C0020538,Hypertension | High blood pressure,
DIS000025,Stimulation,C1948023,Immune stimulation | Stimulate lactation | Stimulate appetite,
DIS000026,Erectile dysfunction,C0242350,Erectile dysfunction | Impotence,
DIS000027,Female sexual dysfunction,C1112442,Female sexual dysfunction,
DIS000028,Osteoarthritis,C0029408,Osteoarthritis,
DIS000029,Malaria,C0024530,Malaria,
DIS000030,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,
DIS000031,Arthritis,C0003864,Arthritis,
DIS000032,High cholesterol,C0020443,High cholesterol | Hypercholesterolemia,
DIS000033,Cardiovascular disease,C0007222,Cardiovascular disease,
DIS000034,Cataracts,C0086543,Cataracts,
DIS000035,Macular degeneration,C0024437,Macular degeneration,
DIS000036,Oral leukoplakia,C0023532,Oral leukoplakia,
DIS000037,disorders,C0012634,Ocular disorders | Parkinson’s disease | Addison’s disease | Lou Gehrig’s Disease | Crohn’s disease,
DIS000038,circulatory disorders,C0728936,Circulatory disorders,
DIS000039,Diabetic retinopathy,C0011884,Diabetic retinopathy,
DIS000040,Mucositis,C0521585,Mucositis,
DIS000041,Asthma,C0004096,Asthma,
DIS000042,Eczema,C0013595,Eczema,
DIS000043,Brittle nails,C0546956,Brittle nails,
DIS000044,Hair loss,C0002170,Hair loss,
DIS000045,Dermatitis,C0011603,Dermatitis,
DIS000046,Multiple sclerosis,C0026769,Multiple sclerosis | Multiple Sclerosis,
DIS000047,Diabetic neuropathy,C0011882,Diabetic neuropathy,
DIS000048,Dysmenorrhea,C0013390,Dysmenorrhea | Menstrual cramps,
DIS000049,Premenstrual syndrome,C0033046,Premenstrual syndrome,
DIS000050,Skin,C0178298,Skin care | Skin sores,
DIS000051,Hypothyroidism,C0020676,Hypothyroidism,
DIS000052,Infection,C0009450,Infection,
DIS000053,Suppression,C0221103,Appetite suppression | Immune suppression,
DIS000054,Viral infections,C0042769,Viral infections,
DIS000055,Colitis,C0009319,Colitis,
DIS000056,Helicobacter pylori infection,C0850666,Helicobacter pylori infection,
DIS000057,Cold,C0009264,"Cold, fever",
DIS000058,Psoriasis,C0033860,Psoriasis,
DIS000059,reduction,C0301630,Wrinkle reduction,
DIS000060,Hemorrhoids,C0019112,Hemorrhoids,
