iDISK_ID,Name,CUI,MSKCC_Name
SS000000,Mania,C0564408,Mania | manic episode | manic phase
SS000001,illness,C0221423,Scleroderma-like illness | illnesses requiring hospitalization | Severe illness | HISTORY OF PRESENT ILLNESS | influenza like illness
SS000002,Pain,C0030193,"Pain | pain | irritating pain | PAIN EYE | Pain, NOS | Application site pain | absence of pain sensation"
SS000003,Swelling,C0038999,Swelling of hands and feet | swelling | Pruritic swelling/darkening of lower lip | Swelling | tongue swelling
SS000004,Skin rash,C5779628,Skin rash | rash | generalized eczematous cutaneous eruption | hive-like rash | exanthema | skin eruptions | Erythrodermic skin eruption | exanthemata | hand rash
SS000005,Weight loss,C1262477,Weight loss | weight loss
SS000006,Eosinophilia,C2240374,Eosinophilia
SS000007,Nausea,C0027497,Nausea | nausea | mild nausea | nauseas
SS000008,Vomiting,C0042963,"Vomiting | vomiting | Emesis | Severe vomiting | Prolonged vomiting | Post-prandial food vomiting | Vomiting, NOS | Nausea or vomiting"
SS000009,Diarrhea,C0011991,Diarrhea | Loose stools | Haemorrhagic diarrhoea | Diarrheas
SS000010,Headache,C0018681,"Headache | headache | headaches | recurrent thunderclap headaches | thunderclap headache | slight headaches | Headaches | Headache, NOS"
SS000011,Insomnia,C0917801,Insomnia | insomnia
SS000012,Palpitations,C0030252,Palpitations | palpitations
SS000013,redness,C0332575,redness | redness at injection site | Redness
SS000014,soreness,C0234233,soreness | tenderness at injection site | tenderness | Soreness | sore to touch
SS000015,hepatic dysfunction,C0086565,hepatic dysfunction | liver dysfunction | Liver dysfunction
SS000016,itching,C0033774,"itching | Pruritus | pruritus | pruritis | Itching around the mouth | Itching | itchy rash | Pruritus, NOS"
SS000017,Increased,C5236002,Increased fecal volume | Increased lactogenesis | Increase in the luteal phase of the menstrual cycle | Increase of serum homocysteine
SS000018,loose stools,C2129214,loose stools | LOOSE STOOL
SS000019,diarrhea,C2169706,diarrhea | mild diarrhea | bloody diarrhea | Clostridium difficile-associated diarrhea | Chronic diarrhea
SS000020,abdominal discomfort,C0232487,abdominal discomfort | DISCOMFORT ABDOMINAL
SS000021,gas,C0596601,intestinal gas | gas | Gas
SS000022,Hypokalemia,C0020621,Hypokalemia | vitamin B12 deficiency | cobalamin deficiency | folate deficiency | hypokalemia | Severe refractory hypokalaemia | Iron deficiency anemia | copper deficiency
SS000023,Hypoglycemia,C0595883,Hypoglycemia | hypoglycemia
SS000024,dyspepsia,C0013395,dyspepsia | Dyspepsia | indigestion | Dyspepsias
SS000025,lesion,C0221198,pancreatic cystic lesion | worsening lesions | Pruritic erythematous lesions | itchy lesions | erythematous lesions | ischemic lesions of the colonic mucosa | recurrent lesion
SS000026,Recurrent hypoglycemia,C1846288,Recurrent hypoglycemia
SS000027,dizziness,C0042571,dizziness | Vertigo | Vertigos
SS000028,organ failure,C0349410,Multiple organ failure
SS000029,convulsions,C0036572,Pediatric convulsions | seizures | Seizures | generalized seizures | Seizure | Multiple seizures | poor seizure control | convulsions | repeated seizures
SS000030,intoxication,C0728899,intoxication | Peditriatric intoxication | Intoxication | signs of intoxication
SS000031,speech language,C0237113,Neurodegenerative disease: Progressive supranuclear palsy-speech language variant
SS000032,cyanosis,C0010520,cyanosis | Cyanoses
SS000033,hypotension,C0020649,hypotension | Hypotension | prolonged hypotension | decreased blood pressure
SS000034,eyelid droop,C0423131,eyelid droop
SS000035,death,C1306577,death | sudden cardiac death | Death | subsequent death
SS000036,fatigue,C0015672,fatigue | Fatigue | severe fatigue | Severe fatigue | fatigued | fatigue chronic | Muscle Fatigue | Transient heat fatigue
SS000037,skin rash,C0015230,skin rash | rashes | Rash | facial skin rash
SS000038,lymphadenopathy,C4282165,lymphadenopathy | swollen glands
SS000039,altered taste,C0740425,altered taste
SS000040,flank pain,C0016199,flank pain
SS000041,sleepiness,C0013144,sleepiness | drowsiness | somnolence | Somnolence | Sleepiness | Drowsiness
SS000042,fever,C0424755,fever | Fever | mild fever
SS000043,slurred speech,C0234518,slurred speech
SS000044,stomach fullness,C0740432,stomach fullness
SS000045,Abdominal pain,C0000737,Abdominal pain | abdominal pain | Severe abdominal pain | severe abdominal pain | PAIN ABDOMINAL
SS000046,bloating,C1291077,bloating | bloating abdominal
SS000047,Gastrointestinal distress,C0548823,Gastrointestinal distress | gastrointestinal distress | Minor gastrointestinal distress
SS000048,tachycardia,C0039231,tachycardia | Ventricular tachycardia | increased heart rate | rapid pulse | ventricular tachycardia | non-sustained ventricular tachycardia | Supraventricular tachycardia
SS000049,dyspnea,C2024878,dyspnea | severe dyspnea | sudden dyspnea
SS000050,vision loss,C3665347,bilateral vision loss | Visual impairment | decreased vision | vision loss
SS000051,Hemolytic,C2945560,Hemolytic anemia
SS000052,discomfort,C2364135,upper GI discomfort | GI discomfort
SS000053,Giddiness,C0476206,Giddiness | Dizziness and giddiness symptoms
SS000054,nasal congestion,C0027424,nasal congestion
SS000055,cough,C0010200,"cough | coughing | COUGH, DRY | COUGHING"
SS000056,decreased appetite,C0232462,decreased appetite | decrease in appetite
SS000057,constipation,C0009806,constipation | Constipation
SS000058,cramps,C0026821,nocturnal cramps | cramping | cramps | CRAMP MUSCLE
SS000059,blurring of vision,C0344232,blurring of vision | blurred vision
SS000060,weight gain,C0043094,weight gain | Weight gain
SS000061,Burning,C0085624,"Burning | Burning sensations | burning sensation | burning sensation on mucous membranes | Sensation, Burning"
SS000062,discoloration of skin,C0151907,discoloration of skin/mucous membrane
SS000063,transplant,C0478647,Kidney transplant rejection | Liver failure requiring transplant | Acute transplant rejection
SS000064,malaise,C0231218,malaise | Malaise
SS000065,blood pressure,C1271104,lowering of blood pressure
SS000066,stomach upset,C0235309,stomach upset | upset stomach | stomach discomfort | Upset stomach | STOMACH UPSET | ACHE STOMACH
SS000067,epigastric discomfort,C0232570,epigastric discomfort
SS000068,Elevated serum glutamic-pyruvic transaminase,C0151905,elevated serum glutamic pyruvic transaminase
SS000069,GI symptoms,C0426576,severe GI symptoms | Minor gastrointestinal symptoms | gastrointestinal symptoms | Gastrointestinal symptoms | transient GI symptoms
SS000070,No hyperkeratosis,C3873447,hyperkeratosis
SS000071,splenomegaly,C0038002,splenomegaly
SS000072,Fatal,C1705232,Fatal congenital defects | Fatal sepsis | Fatal bleeding | Fatal arrhythmia | Fatal fulminant liver failure
SS000073,Anorexia,C1971624,Anorexia
SS000074,epigastric pain,C0232493,severe epigastric pain | epigastric pain | chronic epigastric pain | PAIN EPIGASTRIC
SS000075,vitality,C0424589,sperm vitality
SS000076,complaints,C5441521,dyspeptic complaints | GI complaints | cardiac complaints | gastrointestinal complaints
SS000077,Bradycardia,C3812171,Bradycardia
