DSI,Relation,D,Source,Interaction Rating,Source_Description
DSI001441,interacts_with,D000000,MSKCC,,"Antidepressants/anxiolytics (tricyclics, MAOIs, and SSRIs) : Because 5-HTP can also raise serotonin levels, there is the theoretical potential for increased risk of side effects or toxicities. Larger clinical trials are needed to understand the clinical relevance of these risks."
DSI001441,interacts_with,D000001,MSKCC,,Monamine oxdiase inhibitors : Case report of mania following use of an MAOI with 5-HTP in a patient without history of bipolar disorder (34) .
DSI001441,interacts_with,D000002,MSKCC,,"Linezolid (Zyvox, an antibiotic MAOI) : Case report of interaction with 5-HTP causing serotonin syndrome (35) ."
DSI001441,interacts_with,D000003,MSKCC,,"Carbidopa (Lodosyn, a dopamine promoter) : Case of scleroderma-like illness with combination therapy of carbidopa and 5-HTP (36) ."
DSI007806,interacts_with,D000004,MSKCC,,
DSI007806,interacts_with,D000005,MSKCC,,
DSI007806,interacts_with,D000006,MSKCC,,
DSI004810,interacts_with,D000007,MSKCC,,
DSI007808,interacts_with,D000008,MSKCC,,Cytochrome P450 substrates: Aloe juice inhibited CYP3A4 and CYP2D6 and may affect the intracellular concentration of drugs metabolized by these enzymes (24) . Clinical relevance is not known.
DSI007808,interacts_with,D000009,MSKCC,,Sevoflurane: Excessive intraoperative bleeding was reported in a patient after oral consumption of aloe vera tablets (12) .
DSI000550,interacts_with,D000010,MSKCC,,
DSI003084,interacts_with,D000011,MSKCC,,"Anticoagulants, antiplatelets : Although lab studies indicate possible inhibition of platelet aggregation (34) (35) , one study in rats suggests that andrographis extract does not interact with warfarin when used concomitantly (38) . Patients taking anticoagulant or antiplatelet medications should use caution and consult their treating physician if considering the use of andrographis products."
DSI003084,interacts_with,D000012,MSKCC,,"Chemotherapy drugs : Andrographolides have been shown to have antioxidant effects (21) , which may interfere with the actions of some chemotherapy drugs."
DSI003084,interacts_with,D000013,MSKCC,,"Blood pressure-lowering drugs : Lab studies indicate that andrographis may have additive hypotensive effects (32) . In healthy subjects, A. paniculata at the normal therapeutic dose for the common cold and respiratory tract infections modulated various clinical parameters, including transient reductions in blood pressure (55) ."
DSI003084,interacts_with,D000014,MSKCC,,UDP-glucoronosyltransferase : Lab studies suggest andrographolide derivatives inhibit UGT2B7 and can increase the side effects of drugs metabolized by this enzyme (42) .
DSI003084,interacts_with,D000015,MSKCC,,"Aminophylline: Andrographis inhibits CYP1A2, which is involved in metabolizing aminophylline, resulting in increased risk of side effects from this drug (43) ."
DSI000066,interacts_with,D000016,MSKCC,,Antihypertensives: A small study showed that arginine could temporarily lower blood pressure in patients with diabetes (11) . It also has vasodilatory properties (20) . Therefore it may have additive hypotensive effects.
DSI007810,interacts_with,D000011,MSKCC,,Anticoagulants: Ginkgo may have additive effects with blood thinning drugs while ginseng can antagonize their effects.
DSI007810,interacts_with,D000010,MSKCC,,Antihypertensive and hypoglycemic drugs: L-arginine may have additive effects with antihypertensive and hypoglycemic drugs (9) (10) .
DSI002299,interacts_with,D000017,MSKCC,,
DSI002299,interacts_with,D000011,MSKCC,,
DSI004693,interacts_with,D000018,MSKCC,,"Anticonvulsants, barbiturates, and benzodiazepines : Preclinical studies suggest that ashwagandha has sedative and GABAnergic properties, and may have additive effects (30) (49) . Clinical relevance has yet to be determined."
DSI004693,interacts_with,D000019,MSKCC,,"Cytochrome P450 2B6 substrates: Ashwagandha inhibited CYP2B6 in vitro, and may affect the intracellular concentration of drugs metabolized by this enzyme (58) . Clinical relevance is yet to be determined."
DSI004693,interacts_with,D000020,MSKCC,,"Cytochrome P450 3A4 substrates: Ashwagandha was found to be a moderate inducer of CYP3A4 in vitro, and can affect the intracellular levels of drugs metabolized by this enzyme (58) . Clinical relevance is not known."
DSI003458,interacts_with,D000021,MSKCC,,"Immunosuppressants: Astragalus can antagonize the effects of immunosuppressants. In a patient with refractory nephrotic syndrome, concomitant use of herbal medicine granules containing astragalus was associated with nearly 50% reduction in tacrolimus concentration (74) ."
DSI003458,interacts_with,D000011,MSKCC,,"Anticoagulants: Astragalus and its constituents have anticoagulant properties (52) , which may increase the risk of bleeding. Clinical significance is not known."
DSI003458,interacts_with,D000022,MSKCC,,"Diuretics: In a small study involving healthy men, astragalus demonstrated natriuretic effects (8) and may therefore have additive effects with these medications."
DSI003458,interacts_with,D000016,MSKCC,,Antihypertensive drugs: Astragalus extract can lower both systolic and diastolic blood pressure and may have additive effects with other antihypertensive drugs (38) . Clinical relevance is not known.
DSI003458,interacts_with,D000023,MSKCC,,"P-glycoprotein substrates : Astragalus polysaccharides can inhibit P-glycoprotein efflux pump function. This may increase the cytotoxicity of chemotherapy drugs, including doxorubicin, etoposide, and vincristine (58) . Clinical relevance is not known."
DSI003458,interacts_with,D000024,MSKCC,,Gemcitabine: Pretreatment with an astragalus extract was found to affect pharmacokinetics of gemcitabine in a murine model. Clinical relevance is not known (63) .
DSI007812,interacts_with,D000025,MSKCC,,
DSI007812,interacts_with,D000026,MSKCC,,
DSI001097,interacts_with,D000027,MSKCC,,
DSI001097,interacts_with,D000028,MSKCC,,
DSI001097,interacts_with,D000029,MSKCC,,
DSI001097,interacts_with,D000030,MSKCC,,
