DSI,Relation,Dis,Source,Effectiveness Rating,Source_Description
DSI001441,is_effective_for,DIS000000,MSKCC,,
DSI001441,is_effective_for,DIS000001,MSKCC,,
DSI001441,is_effective_for,DIS000002,MSKCC,,
DSI001441,is_effective_for,DIS000003,MSKCC,,
DSI001441,is_effective_for,DIS000004,MSKCC,,
DSI001441,is_effective_for,DIS000005,MSKCC,,
DSI007805,is_effective_for,DIS000006,MSKCC,,
DSI007805,is_effective_for,DIS000007,MSKCC,,
DSI007806,is_effective_for,DIS000006,MSKCC,,
DSI007806,is_effective_for,DIS000008,MSKCC,,
DSI007806,is_effective_for,DIS000009,MSKCC,,
DSI007807,is_effective_for,DIS000010,MSKCC,,
DSI007807,is_effective_for,DIS000011,MSKCC,,
DSI007807,is_effective_for,DIS000012,MSKCC,,
DSI004810,is_effective_for,DIS000006,MSKCC,,
DSI004810,is_effective_for,DIS000013,MSKCC,,
DSI004810,is_effective_for,DIS000014,MSKCC,,
DSI001541,is_effective_for,DIS000012,MSKCC,,
DSI001541,is_effective_for,DIS000015,MSKCC,,
DSI001541,is_effective_for,DIS000016,MSKCC,,
DSI001541,is_effective_for,DIS000017,MSKCC,,
DSI007808,is_effective_for,DIS000018,MSKCC,,
DSI007808,is_effective_for,DIS000019,MSKCC,,
DSI007808,is_effective_for,DIS000012,MSKCC,,
DSI000550,is_effective_for,DIS000012,MSKCC,,
DSI000550,is_effective_for,DIS000020,MSKCC,,
DSI004792,is_effective_for,DIS000021,MSKCC,,
DSI004792,is_effective_for,DIS000006,MSKCC,,
DSI004744,is_effective_for,DIS000006,MSKCC,,
DSI003084,is_effective_for,DIS000018,MSKCC,,
DSI003084,is_effective_for,DIS000022,MSKCC,,
DSI003084,is_effective_for,DIS000006,MSKCC,,
DSI007809,is_effective_for,DIS000006,MSKCC,,
DSI000066,is_effective_for,DIS000023,MSKCC,,
DSI000066,is_effective_for,DIS000024,MSKCC,,
DSI000066,is_effective_for,DIS000025,MSKCC,,
DSI000066,is_effective_for,DIS000026,MSKCC,,
DSI000066,is_effective_for,DIS000004,MSKCC,,
DSI007810,is_effective_for,DIS000026,MSKCC,,
DSI007810,is_effective_for,DIS000027,MSKCC,,
DSI002299,is_effective_for,DIS000018,MSKCC,,
DSI002299,is_effective_for,DIS000028,MSKCC,,
DSI000117,is_effective_for,DIS000029,MSKCC,,
