DSI,Relation,SS,Source
DSI001441,has_adverse_reaction,SS000000,MSKCC
DSI001441,has_adverse_reaction,SS000001,MSKCC
DSI001441,has_adverse_reaction,SS000002,MSKCC
DSI001441,has_adverse_reaction,SS000003,MSKCC
DSI001441,has_adverse_reaction,SS000004,MSKCC
DSI001441,has_adverse_reaction,SS000005,MSKCC
DSI001441,has_adverse_reaction,SS000006,MSKCC
DSI001441,has_adverse_reaction,SS000007,MSKCC
DSI001441,has_adverse_reaction,SS000008,MSKCC
DSI001441,has_adverse_reaction,SS000009,MSKCC
DSI001441,has_adverse_reaction,SS000010,MSKCC
DSI001441,has_adverse_reaction,SS000011,MSKCC
DSI001441,has_adverse_reaction,SS000012,MSKCC
DSI007805,has_adverse_reaction,SS000013,MSKCC
DSI007805,has_adverse_reaction,SS000014,MSKCC
DSI007807,has_adverse_reaction,SS000015,MSKCC
DSI004810,has_adverse_reaction,SS000009,MSKCC
DSI004810,has_adverse_reaction,SS000016,MSKCC
DSI001541,has_adverse_reaction,SS000017,MSKCC
DSI001541,has_adverse_reaction,SS000018,MSKCC
DSI001541,has_adverse_reaction,SS000019,MSKCC
DSI001541,has_adverse_reaction,SS000020,MSKCC
DSI001541,has_adverse_reaction,SS000021,MSKCC
DSI007808,has_adverse_reaction,SS000022,MSKCC
DSI000550,has_adverse_reaction,SS000023,MSKCC
DSI000550,has_adverse_reaction,SS000007,MSKCC
DSI000550,has_adverse_reaction,SS000008,MSKCC
DSI000550,has_adverse_reaction,SS000024,MSKCC
DSI000550,has_adverse_reaction,SS000025,MSKCC
DSI000550,has_adverse_reaction,SS000026,MSKCC
DSI000550,has_adverse_reaction,SS000027,MSKCC
DSI000550,has_adverse_reaction,SS000028,MSKCC
DSI000550,has_adverse_reaction,SS000029,MSKCC
DSI000550,has_adverse_reaction,SS000030,MSKCC
DSI004792,has_adverse_reaction,SS000008,MSKCC
DSI004792,has_adverse_reaction,SS000031,MSKCC
DSI004744,has_adverse_reaction,SS000007,MSKCC
DSI004744,has_adverse_reaction,SS000008,MSKCC
DSI004744,has_adverse_reaction,SS000010,MSKCC
DSI004744,has_adverse_reaction,SS000027,MSKCC
DSI004744,has_adverse_reaction,SS000032,MSKCC
DSI004744,has_adverse_reaction,SS000033,MSKCC
DSI004744,has_adverse_reaction,SS000034,MSKCC
DSI004744,has_adverse_reaction,SS000035,MSKCC
DSI004744,has_adverse_reaction,SS000022,MSKCC
DSI003084,has_adverse_reaction,SS000010,MSKCC
DSI003084,has_adverse_reaction,SS000036,MSKCC
DSI003084,has_adverse_reaction,SS000037,MSKCC
DSI003084,has_adverse_reaction,SS000038,MSKCC
DSI003084,has_adverse_reaction,SS000007,MSKCC
DSI003084,has_adverse_reaction,SS000008,MSKCC
DSI003084,has_adverse_reaction,SS000019,MSKCC
DSI003084,has_adverse_reaction,SS000039,MSKCC
DSI003084,has_adverse_reaction,SS000040,MSKCC
DSI007809,has_adverse_reaction,SS000029,MSKCC
DSI007809,has_adverse_reaction,SS000041,MSKCC
DSI007809,has_adverse_reaction,SS000042,MSKCC
DSI007809,has_adverse_reaction,SS000043,MSKCC
DSI007809,has_adverse_reaction,SS000037,MSKCC
DSI007809,has_adverse_reaction,SS000044,MSKCC
DSI000066,has_adverse_reaction,SS000045,MSKCC
DSI000066,has_adverse_reaction,SS000046,MSKCC
DSI000066,has_adverse_reaction,SS000007,MSKCC
DSI000066,has_adverse_reaction,SS000019,MSKCC
DSI002299,has_adverse_reaction,SS000047,MSKCC
DSI002299,has_adverse_reaction,SS000048,MSKCC
DSI002299,has_adverse_reaction,SS000049,MSKCC
DSI002299,has_adverse_reaction,SS000008,MSKCC
DSI002299,has_adverse_reaction,SS000050,MSKCC
DSI002299,has_adverse_reaction,SS000051,MSKCC
DSI004693,has_adverse_reaction,SS000041,MSKCC
DSI004693,has_adverse_reaction,SS000052,MSKCC
DSI004693,has_adverse_reaction,SS000018,MSKCC
DSI004693,has_adverse_reaction,SS000053,MSKCC
DSI004693,has_adverse_reaction,SS000054,MSKCC
DSI004693,has_adverse_reaction,SS000055,MSKCC
DSI004693,has_adverse_reaction,SS000056,MSKCC
DSI004693,has_adverse_reaction,SS000007,MSKCC
DSI004693,has_adverse_reaction,SS000057,MSKCC
DSI004693,has_adverse_reaction,SS000058,MSKCC
DSI004693,has_adverse_reaction,SS000059,MSKCC
DSI004693,has_adverse_reaction,SS000037,MSKCC
DSI004693,has_adverse_reaction,SS000060,MSKCC
DSI004693,has_adverse_reaction,SS000010,MSKCC
DSI004693,has_adverse_reaction,SS000061,MSKCC
DSI004693,has_adverse_reaction,SS000016,MSKCC
DSI004693,has_adverse_reaction,SS000062,MSKCC
DSI004693,has_adverse_reaction,SS000048,MSKCC
DSI004693,has_adverse_reaction,SS000036,MSKCC
DSI004693,has_adverse_reaction,SS000042,MSKCC
DSI004693,has_adverse_reaction,SS000019,MSKCC
DSI004693,has_adverse_reaction,SS000063,MSKCC
DSI003458,has_adverse_reaction,SS000036,MSKCC
DSI003458,has_adverse_reaction,SS000064,MSKCC
DSI003458,has_adverse_reaction,SS000010,MSKCC
DSI003458,has_adverse_reaction,SS000065,MSKCC
DSI007811,has_adverse_reaction,SS000066,MSKCC
DSI007812,has_adverse_reaction,SS000016,MSKCC
DSI007812,has_adverse_reaction,SS000067,MSKCC
DSI007812,has_adverse_reaction,SS000007,MSKCC
DSI007812,has_adverse_reaction,SS000068,MSKCC
DSI007812,has_adverse_reaction,SS000069,MSKCC
DSI007812,has_adverse_reaction,SS000070,MSKCC
DSI007812,has_adverse_reaction,SS000071,MSKCC
DSI007812,has_adverse_reaction,SS000035,MSKCC
DSI007812,has_adverse_reaction,SS000072,MSKCC
DSI001097,has_adverse_reaction,SS000073,MSKCC
DSI001097,has_adverse_reaction,SS000066,MSKCC
DSI001097,has_adverse_reaction,SS000019,MSKCC
DSI001097,has_adverse_reaction,SS000057,MSKCC
DSI001097,has_adverse_reaction,SS000004,MSKCC
DSI000172,has_adverse_reaction,SS000074,MSKCC
DSI000172,has_adverse_reaction,SS000008,MSKCC
DSI007813,has_adverse_reaction,SS000075,MSKCC
DSI000236,has_adverse_reaction,SS000076,MSKCC
DSI000236,has_adverse_reaction,SS000010,MSKCC
DSI000236,has_adverse_reaction,SS000042,MSKCC
DSI000236,has_adverse_reaction,SS000045,MSKCC
DSI000209,has_adverse_reaction,SS000037,MSKCC
DSI000209,has_adverse_reaction,SS000027,MSKCC
DSI000209,has_adverse_reaction,SS000010,MSKCC
DSI000209,has_adverse_reaction,SS000007,MSKCC
DSI000209,has_adverse_reaction,SS000008,MSKCC
DSI000209,has_adverse_reaction,SS000077,MSKCC
DSI000209,has_adverse_reaction,SS000078,MSKCC
DSI000209,has_adverse_reaction,SS000079,MSKCC
DSI000637,has_adverse_reaction,SS000080,MSKCC
DSI000637,has_adverse_reaction,SS000025,MSKCC
DSI005068,has_adverse_reaction,SS000029,MSKCC
DSI005068,has_adverse_reaction,SS000081,MSKCC
DSI002555,has_adverse_reaction,SS000010,MSKCC
