DSP,Relation,DSI,Source
DSP000000,has_ingredient,DSI000000,NHP
DSP000001,has_ingredient,DSI000001,NHP
DSP000002,has_ingredient,DSI000002,NHP
DSP000003,has_ingredient,DSI000003,NHP
DSP000003,has_ingredient,DSI000004,NHP
DSP000004,has_ingredient,DSI000005,NHP
DSP000005,has_ingredient,DSI000003,NHP
DSP000005,has_ingredient,DSI000004,NHP
DSP000006,has_ingredient,DSI000005,NHP
DSP000007,has_ingredient,DSI000006,NHP
DSP000008,has_ingredient,DSI000007,NHP
DSP000008,has_ingredient,DSI000008,NHP
DSP000009,has_ingredient,DSI000009,NHP
DSP000010,has_ingredient,DSI000009,NHP
DSP000011,has_ingredient,DSI000009,NHP
DSP000012,has_ingredient,DSI000010,NHP
DSP000013,has_ingredient,DSI000011,NHP
DSP000014,has_ingredient,DSI000012,NHP
DSP000014,has_ingredient,DSI000013,NHP
DSP000014,has_ingredient,DSI000014,NHP
DSP000014,has_ingredient,DSI000015,NHP
DSP000014,has_ingredient,DSI000016,NHP
DSP000014,has_ingredient,DSI000017,NHP
DSP000014,has_ingredient,DSI000018,NHP
DSP000014,has_ingredient,DSI000019,NHP
DSP000014,has_ingredient,DSI000020,NHP
DSP000014,has_ingredient,DSI000021,NHP
DSP000015,has_ingredient,DSI000022,NHP
DSP000016,has_ingredient,DSI000023,NHP
DSP000016,has_ingredient,DSI000024,NHP
DSP000016,has_ingredient,DSI000025,NHP
DSP000017,has_ingredient,DSI000026,NHP
DSP000017,has_ingredient,DSI000027,NHP
DSP000017,has_ingredient,DSI000028,NHP
DSP000017,has_ingredient,DSI000029,NHP
DSP000017,has_ingredient,DSI000030,NHP
DSP000017,has_ingredient,DSI000031,NHP
DSP000017,has_ingredient,DSI000032,NHP
DSP000017,has_ingredient,DSI000033,NHP
DSP000017,has_ingredient,DSI000034,NHP
DSP000017,has_ingredient,DSI000035,NHP
DSP000017,has_ingredient,DSI000036,NHP
DSP000017,has_ingredient,DSI000037,NHP
DSP000017,has_ingredient,DSI000038,NHP
DSP000017,has_ingredient,DSI000039,NHP
DSP000017,has_ingredient,DSI000040,NHP
DSP000017,has_ingredient,DSI000041,NHP
DSP000017,has_ingredient,DSI000042,NHP
DSP000018,has_ingredient,DSI000043,NHP
DSP000019,has_ingredient,DSI000044,NHP
DSP000019,has_ingredient,DSI000045,NHP
DSP000019,has_ingredient,DSI000046,NHP
DSP000019,has_ingredient,DSI000047,NHP
DSP000019,has_ingredient,DSI000014,NHP
DSP000019,has_ingredient,DSI000048,NHP
DSP000019,has_ingredient,DSI000049,NHP
DSP000019,has_ingredient,DSI000050,NHP
DSP000019,has_ingredient,DSI000051,NHP
DSP000019,has_ingredient,DSI000020,NHP
DSP000019,has_ingredient,DSI000052,NHP
DSP000020,has_ingredient,DSI000053,NHP
DSP000021,has_ingredient,DSI000054,NHP
DSP000021,has_ingredient,DSI000055,NHP
DSP000022,has_ingredient,DSI000054,NHP
DSP000022,has_ingredient,DSI000056,NHP
DSP000023,has_ingredient,DSI000057,NHP
DSP000024,has_ingredient,DSI000058,NHP
DSP000024,has_ingredient,DSI000059,NHP
DSP000024,has_ingredient,DSI000060,NHP
DSP000024,has_ingredient,DSI000061,NHP
DSP000024,has_ingredient,DSI000062,NHP
DSP000024,has_ingredient,DSI000063,NHP
DSP000024,has_ingredient,DSI000064,NHP
DSP000025,has_ingredient,DSI000065,NHP
DSP000025,has_ingredient,DSI000066,NHP
DSP000025,has_ingredient,DSI000067,NHP
DSP000025,has_ingredient,DSI000068,NHP
DSP000026,has_ingredient,DSI000069,NHP
DSP000026,has_ingredient,DSI000010,NHP
DSP000026,has_ingredient,DSI000070,NHP
DSP000026,has_ingredient,DSI000071,NHP
DSP000026,has_ingredient,DSI000072,NHP
DSP000026,has_ingredient,DSI000014,NHP
DSP000026,has_ingredient,DSI000073,NHP
DSP000026,has_ingredient,DSI000066,NHP
DSP000026,has_ingredient,DSI000074,NHP
DSP000026,has_ingredient,DSI000067,NHP
DSP000026,has_ingredient,DSI000075,NHP
DSP000026,has_ingredient,DSI000076,NHP
DSP000026,has_ingredient,DSI000021,NHP
DSP000026,has_ingredient,DSI000077,NHP
DSP000027,has_ingredient,DSI000078,NHP
DSP000028,has_ingredient,DSI000080,NHP
DSP000029,has_ingredient,DSI000081,NHP
DSP000030,has_ingredient,DSI000082,NHP
DSP000031,has_ingredient,DSI000083,NHP
DSP000032,has_ingredient,DSI000084,NHP
DSP000032,has_ingredient,DSI000085,NHP
DSP000032,has_ingredient,DSI000086,NHP
DSP000033,has_ingredient,DSI000060,NHP
DSP000033,has_ingredient,DSI000087,NHP
DSP000033,has_ingredient,DSI000074,NHP
DSP000033,has_ingredient,DSI000077,NHP
DSP000034,has_ingredient,DSI000088,NHP
DSP000035,has_ingredient,DSI000080,NHP
DSP000036,has_ingredient,DSI000022,NHP
DSP000037,has_ingredient,DSI000043,NHP
DSP000038,has_ingredient,DSI000086,NHP
DSP000038,has_ingredient,DSI000068,NHP
DSP000038,has_ingredient,DSI000042,NHP
DSP000039,has_ingredient,DSI000089,NHP
DSP000039,has_ingredient,DSI000090,NHP
DSP000039,has_ingredient,DSI000091,NHP
DSP000039,has_ingredient,DSI000076,NHP
DSP000040,has_ingredient,DSI000043,NHP
DSP000041,has_ingredient,DSI000092,NHP
DSP000042,has_ingredient,DSI000043,NHP
DSP000043,has_ingredient,DSI000093,NHP
DSP000043,has_ingredient,DSI000092,NHP
DSP000043,has_ingredient,DSI000094,NHP
DSP000043,has_ingredient,DSI000095,NHP
DSP000044,has_ingredient,DSI000014,NHP
DSP000044,has_ingredient,DSI000096,NHP
DSP000044,has_ingredient,DSI000018,NHP
DSP000044,has_ingredient,DSI000019,NHP
DSP000044,has_ingredient,DSI000011,NHP
DSP000044,has_ingredient,DSI000020,NHP
DSP000044,has_ingredient,DSI000021,NHP
DSP000044,has_ingredient,DSI000041,NHP
DSP000044,has_ingredient,DSI000022,NHP
DSP000045,has_ingredient,DSI000080,NHP
DSP000045,has_ingredient,DSI000024,NHP
DSP000045,has_ingredient,DSI000097,NHP
DSP000045,has_ingredient,DSI000042,NHP
DSP000046,has_ingredient,DSI000098,NHP
DSP000047,has_ingredient,DSI000099,NHP
DSP000048,has_ingredient,DSI000020,NHP
DSP000049,has_ingredient,DSI000036,NHP
DSP000050,has_ingredient,DSI000028,NHP
DSP000050,has_ingredient,DSI000100,NHP
DSP000050,has_ingredient,DSI000101,NHP
DSP000050,has_ingredient,DSI000102,NHP
DSP000050,has_ingredient,DSI000103,NHP
DSP000050,has_ingredient,DSI000104,NHP
DSP000050,has_ingredient,DSI000105,NHP
DSP000050,has_ingredient,DSI000106,NHP
DSP000050,has_ingredient,DSI000107,NHP
DSP000050,has_ingredient,DSI000108,NHP
DSP000050,has_ingredient,DSI000109,NHP
DSP000050,has_ingredient,DSI000039,NHP
DSP000051,has_ingredient,DSI000098,NHP
DSP000052,has_ingredient,DSI000110,NHP
DSP000053,has_ingredient,DSI000110,NHP
DSP000054,has_ingredient,DSI000111,NHP
DSP000055,has_ingredient,DSI000112,NHP
DSP000056,has_ingredient,DSI000081,NHP
DSP000056,has_ingredient,DSI000113,NHP
DSP000056,has_ingredient,DSI000114,NHP
DSP000056,has_ingredient,DSI000115,NHP
DSP000057,has_ingredient,DSI000116,NHP
DSP000058,has_ingredient,DSI000117,NHP
DSP000059,has_ingredient,DSI000090,NHP
DSP000060,has_ingredient,DSI000118,NHP
DSP000061,has_ingredient,DSI000042,NHP
DSP000062,has_ingredient,DSI000119,NHP
DSP000062,has_ingredient,DSI000120,NHP
DSP000062,has_ingredient,DSI000121,NHP
DSP000062,has_ingredient,DSI000122,NHP
DSP000062,has_ingredient,DSI000123,NHP
DSP000062,has_ingredient,DSI000124,NHP
DSP000062,has_ingredient,DSI000125,NHP
DSP000063,has_ingredient,DSI000126,NHP
DSP000063,has_ingredient,DSI000127,NHP
DSP000063,has_ingredient,DSI000119,NHP
DSP000063,has_ingredient,DSI000128,NHP
DSP000063,has_ingredient,DSI000129,NHP
DSP000063,has_ingredient,DSI000130,NHP
DSP000063,has_ingredient,DSI000131,NHP
DSP000063,has_ingredient,DSI000132,NHP
DSP000063,has_ingredient,DSI000133,NHP
DSP000063,has_ingredient,DSI000125,NHP
DSP000064,has_ingredient,DSI000134,NHP
DSP000065,has_ingredient,DSI000135,NHP
DSP000065,has_ingredient,DSI000136,NHP
DSP000065,has_ingredient,DSI000137,NHP
DSP000065,has_ingredient,DSI000138,NHP
DSP000065,has_ingredient,DSI000139,NHP
DSP000065,has_ingredient,DSI000140,NHP
DSP000065,has_ingredient,DSI000141,NHP
DSP000065,has_ingredient,DSI000142,NHP
DSP000066,has_ingredient,DSI000143,NHP
DSP000066,has_ingredient,DSI000144,NHP
DSP000066,has_ingredient,DSI000145,NHP
